2024-03-01 17:55:11,216 INFO    MainThread:12330 [wandb_setup.py:_flush():68] Configure stats pid to 12330
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_setup.py:_flush():68] Loading settings from /home/dariusstrongman/.config/wandb/settings
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_setup.py:_flush():68] Loading settings from /home/dariusstrongman/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/settings
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_init.py:_log_setup():478] Logging user logs to /home/dariusstrongman/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240301_175511-1vaiihsv/logs/debug.log
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_init.py:_log_setup():479] Logging internal logs to /home/dariusstrongman/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240301_175511-1vaiihsv/logs/debug-internal.log
2024-03-01 17:55:11,217 INFO    MainThread:12330 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f18c0131a90>
2024-03-01 17:55:11,218 INFO    MainThread:12330 [wandb_init.py:init():518] calling init triggers
2024-03-01 17:55:11,218 INFO    MainThread:12330 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2024-03-01 17:55:11,218 INFO    MainThread:12330 [wandb_init.py:init():571] starting backend
2024-03-01 17:55:11,218 INFO    MainThread:12330 [wandb_init.py:init():575] setting up manager
2024-03-01 17:55:11,223 INFO    MainThread:12330 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-01 17:55:11,230 INFO    MainThread:12330 [wandb_init.py:init():582] backend started and connected
2024-03-01 17:55:11,233 INFO    MainThread:12330 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2024-03-01 17:55:11,234 INFO    MainThread:12330 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-03-01 17:55:11,234 INFO    MainThread:12330 [wandb_init.py:init():670] updated telemetry
2024-03-01 17:55:11,296 INFO    MainThread:12330 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2024-03-01 17:55:11,571 INFO    MainThread:12330 [wandb_run.py:_on_init():2121] communicating current version
2024-03-01 17:55:11,647 INFO    MainThread:12330 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-01 17:55:11,647 INFO    MainThread:12330 [wandb_init.py:init():758] starting run threads in backend
2024-03-01 17:55:15,343 INFO    MainThread:12330 [wandb_run.py:_console_start():2101] atexit reg
2024-03-01 17:55:15,343 INFO    MainThread:12330 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2024-03-01 17:55:15,343 INFO    MainThread:12330 [wandb_run.py:_redirect():2024] Wrapping output streams.
2024-03-01 17:55:15,344 INFO    MainThread:12330 [wandb_run.py:_redirect():2046] Redirects installed.
2024-03-01 17:55:15,344 INFO    MainThread:12330 [wandb_init.py:init():798] run started, returning control to user process
2024-03-01 17:56:00,337 INFO    MainThread:12330 [wandb_run.py:_finish():1844] finishing run dariuswork/nyc_airbnb/1vaiihsv
2024-03-01 17:56:00,378 INFO    MainThread:12330 [jupyter.py:save_history():478] saving 8 cells to _session_history.ipynb
2024-03-01 17:56:00,379 INFO    MainThread:12330 [wandb_run.py:_config_callback():1249] config_cb ('_wandb', 'session_history') code/_session_history.ipynb None
2024-03-01 17:56:00,383 INFO    MainThread:12330 [jupyter.py:_save_ipynb():390] looking for notebook: src/eda/eda.ipynb
2024-03-01 17:56:00,383 INFO    MainThread:12330 [wandb_init.py:_jupyter_teardown():410] cleaning up jupyter logic
2024-03-01 17:56:00,383 INFO    MainThread:12330 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2024-03-01 17:56:00,383 INFO    MainThread:12330 [wandb_run.py:_restore():2053] restore
2024-03-01 17:56:00,383 INFO    MainThread:12330 [wandb_run.py:_restore():2059] restore done
2024-03-01 17:56:04,872 INFO    MainThread:12330 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2024-03-01 17:56:04,872 INFO    MainThread:12330 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2024-03-01 17:56:04,874 INFO    MainThread:12330 [wandb_run.py:_footer_sync_info():3383] logging synced files
